Tarih;PM10 ;temperature;temperature_min;temperature_max;winddirection;windspeed;pressure
;PM10 ( æg/mü );temperature;temperature_min;temperature_max;winddirection;windspeed;pressure
10.05.2020;47,74841716;18,5;10;28;275;7,5;1015,1
09.05.2020;35,23931333;18,5;13;23;275;25;1015,1
08.05.2020;33,97314875;17,9;12;24;215;25,7;1014,4
07.05.2020;38,89886304;15,4;13;19;223;15,1;1010,6
06.05.2020;49,39500545;17,4;9;25;182;10,2;1011,9
05.05.2020;39,24457667;16;10,5;21;223;17,3;1012,6
04.05.2020;29,37974958;14,2;11;18;206;9,7;1008,5
03.05.2020;30,44333083;17,1;13;22;206;10,4;1008,5
02.05.2020;39,25047958;17,9;11;25;206;9,2;1008,5
01.05.2020;45,39344125;17,2;9,5;24;206;7,9;1011,1
30.04.2020;55,15721958;17,3;13;23;185;10,6;1009,7
29.04.2020;62,6741425;17,2;10;25,2;185;7,5;1012,5
28.04.2020;51,37060708;17;8;25;257;10;1013,3
27.04.2020;47,81770167;15,7;7;24;257;6,1;1011,6
26.04.2020;40,65306542;14,2;4;23,2;195;8,6;1010
25.04.2020;40,26760333;14,8;10;21;236;16,1;1007,6
24.04.2020;39,56949375;15,3;11;21;288;20,8;1007,9
23.04.2020;38,14689;14,2;10;19,1;345;24,5;1011,3
22.04.2020;46,19249792;14,6;12;19;226;25,6;1010,7
21.04.2020;54,89353208;18,3;15,5;23;216;19,5;1010
20.04.2020;59,79108958;17,3;8;26;152;7,3;1011,8
19.04.2020;39,78843;16,2;8;25;152;6,1;1014
18.04.2020;47,69137792;15,4;7,6;23,5;182;8,3;1015
17.04.2020;52,3065675;14,2;5;22;216;13,9;1015,4
16.04.2020;28,62548875;14,2;10;19;251;35;1015,8
15.04.2020;51,94113333;17,1;12;23;211;18,9;1011,6
14.04.2020;61,45335042;14,6;6;23,5;169;9,8;1016,1
13.04.2020;48,41493792;14,5;6;22;250;13,4;1018,2
12.04.2020;48,3814025;16,4;7;23,5;266;16,5;1018,6
11.04.2020;47,10155;17,3;11;24;200;20,9;1015,9
10.04.2020;40,47867917;14,3;7;21,1;214;24,1;1012,8
09.04.2020;39,44215708;12,6;7;18,1;256;23,1;1013,3
08.04.2020;41,79909375;13,4;10;18;315;29,5;1015,1
07.04.2020;47,98245345;12,6;9;16;338;27,3;1016,6
06.04.2020;47,74841716;13,7;11;17;252;19,4;1014,6
05.04.2020;47,00008085;15,6;13,5;19;223;13,3;1006,4
04.04.2020;60,33778667;14,5;10,2;20;218;6,1;1010,9
03.04.2020;34,72911042;11,1;6;15;206;8,9;1014,3
02.04.2020;43,78400625;9,6;7;14;203;13,6;1009
01.04.2020;44,83052458;11,7;7;17;183;13,3;1011
31.03.2020;72,5535125;13,3;7;20;270;11,1;1008,4
30.03.2020;66,42410917;12;4;19;173;8,6;1010,5
29.03.2020;73,21100167;10,6;6,2;15;260;10,4;1010,2
