"Tarih","PM10","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"","PM10 ( �g/m� )","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"05/10/2020 00:00:56","47.7484171626984","18.5","10","28","275","7.5","1015.1"
"05/09/2020 00:00:56","35.2393133333333","18.5","13","23","275","25","1015.1"
"05/08/2020 00:00:56","33.97314875","17.9","12","24","215","25.7","1014.4"
"05/07/2020 00:00:56","38.8988630434783","15.4","13","19","223","15.1","1010.6"
"05/06/2020 00:00:56","49.3950054545455","17.4","9","25","182","10.2","1011.9"
"05/05/2020 00:00:56","39.2445766666667","16","10.5","21","223","17.3","1012.6"
"05/04/2020 00:00:56","29.3797495833333","14.2","11","18","206","9.7","1008.5"
"05/03/2020 00:00:56","30.4433308333333","17.1","13","22","206","10.4","1008.5"
"05/02/2020 00:00:56","39.2504795833333","17.9","11","25","206","9.2","1008.5"
"05/01/2020 00:00:56","45.39344125","17.2","9.5","24","206","7.9","1011.1"
"04/30/2020 00:00:56","55.1572195833333","17.3","13","23","185","10.6","1009.7"
"04/29/2020 00:00:56","62.6741425","17.2","10","25.2","185","7.5","1012.5"
"04/28/2020 00:00:56","51.3706070833333","17","8","25","257","10","1013.3"
"04/27/2020 00:00:56","47.8177016666667","15.7","7","24","257","6.1","1011.6"
"04/26/2020 00:00:56","40.6530654166667","14.2","4","23.2","195","8.6","1010"
"04/25/2020 00:00:56","40.2676033333333","14.8","10","21","236","16.1","1007.6"
"04/24/2020 00:00:56","39.56949375","15.3","11","21","288","20.8","1007.9"
"04/23/2020 00:00:56","38.14689","14.2","10","19.1","345","24.5","1011.3"
"04/22/2020 00:00:56","46.1924979166667","14.6","12","19","226","25.6","1010.7"
"04/21/2020 00:00:56","54.8935320833333","18.3","15.5","23","216","19.5","1010"
"04/20/2020 00:00:56","59.7910895833333","17.3","8","26","152","7.3","1011.8"
"04/19/2020 00:00:56","39.78843","16.2","8","25","152","6.1","1014"
"04/18/2020 00:00:56","47.6913779166667","15.4","7.6","23.5","182","8.3","1015"
"04/17/2020 00:00:56","52.3065675","14.2","5","22","216","13.9","1015.4"
"04/16/2020 00:00:56","28.62548875","14.2","10","19","251","35","1015.8"
"04/15/2020 00:00:56","51.9411333333333","17.1","12","23","211","18.9","1011.6"
"04/14/2020 00:00:56","61.4533504166667","14.6","6","23.5","169","9.8","1016.1"
"04/13/2020 00:00:56","48.4149379166667","14.5","6","22","250","13.4","1018.2"
"04/12/2020 00:00:56","48.3814025","16.4","7","23.5","266","16.5","1018.6"
"04/11/2020 00:00:56","47.10155","17.3","11","24","200","20.9","1015.9"
"04/10/2020 00:00:56","40.4786791666667","14.3","7","21.1","214","24.1","1012.8"
"04/09/2020 00:00:56","39.4421570833333","12.6","7","18.1","256","23.1","1013.3"
"04/08/2020 00:00:56","41.79909375","13.4","10","18","315","29.5","1015.1"
"04/07/2020 00:00:56","47.982453452381","12.6","9","16","338","27.3","1016.6"
"04/06/2020 00:00:56","47.7484171626984","13.7","11","17","252","19.4","1014.6"
"04/05/2020 00:00:56","47.0000808531746","15.6","13.5","19","223","13.3","1006.4"
"04/04/2020 00:00:56","60.3377866666667","14.5","10.2","20","218","6.1","1010.9"
"04/03/2020 00:00:56","34.7291104166667","11.1","6","15","206","8.9","1014.3"
"04/02/2020 00:00:56","43.78400625","9.6","7","14","203","13.6","1009"
"04/01/2020 00:00:56","44.8305245833333","11.7","7","17","183","13.3","1011"
"03/31/2020 00:00:56","72.5535125","13.3","7","20","270","11.1","1008.4"
"03/30/2020 00:00:56","66.4241091666667","12","4","19","173","8.6","1010.5"
"03/29/2020 00:00:56","73.2110016666667","10.6","6.2","15","260","10.4","1010.2"
"03/28/2020 00:00:56","73.3109179166667","12.1","10","15","193","10.9","1010.6"
"03/27/2020 00:00:56","66.6546241666667","12.4","10","16.5","218","15.6","1010"
"03/26/2020 00:00:56","53.4494356521739","12.4","9.7","16","126","14.9","1011.6"
"03/25/2020 00:00:56","44.9017408333333","12.7","8","18","210","18.6","1013.7"
"03/24/2020 00:00:56","61.9628691666667","11.9","5","18","273","11.1","1011.8"
"03/23/2020 00:00:56","65.8984895833333","12.9","8.6","18","198","6.1","1012.6"
"03/22/2020 00:00:56","70.4017470833333","11","4.7","17.6","173","7.7","1015"
"03/21/2020 00:00:56","47.8450145833333","11.4","2","19","265","12.1","1016"
"03/20/2020 00:00:56","44.9741129166667","9.9","5","15","228","28.2","1017.9"
"03/19/2020 00:00:56","37.5675433333333","7.6","4.7","12","130","27","1021.2"
"03/18/2020 00:00:56","45.7547625","8.9","5","14.2","217","30.5","1020.5"
"03/17/2020 00:00:56","27.1290741666667","7.7","3","13","201","37.9","1023.5"
"03/16/2020 00:00:56","30.4938504166667","8.9","6","11.5","256","35.2","1019.5"
"03/15/2020 00:00:56","67.7152925","14.1","9","20.1","243","11.3","1012.9"
"03/14/2020 00:00:56","62.6226125","14.9","7","22","219","10.9","1011.1"
"03/13/2020 00:00:56","70.1935945833333","17","14","22","305","29.9","1007.5"
"03/12/2020 00:00:56","52.8187227272727","15.1","8.7","21","249","24.2","1014.1"
"03/11/2020 00:00:56","47.7484171626984","12.9","10","18","158","9.1","1016.7"
"03/10/2020 00:00:56","37.2908470833333","12.5","10.7","16","171","11.2","1009.8"
"03/09/2020 00:00:56","86.1468425","13.2","5","21","193","7.1","1008.2"
"03/08/2020 00:00:56","69.4423883333333","14.3","10","20","164","12.7","1017.6"
