Tarih	PM10 ( µg/m³ )	data__temperature	data__temperature_min	data__temperature_max	data__windspeed	data__pressure	
5/13/2020	42.517637916667	22.1	12	32	9.8	1015.6	
5/12/2020	37.33766	21.1	11.5	29.2	13.6	1014.1	
5/11/2020	32.565059958333	20	12	28.5	8.9	1016.1	
5/10/2020	36.701592916667	19	9.5	28	8.2	1015.2	
5/9/2020	26.112918458333	18.5	14	23	24.7	1015.1	
5/8/2020	32.391523125	17.8	12.1	24	25.9	1014.4	
5/7/2020	35.260795041667	15.8	13	19	15.7	1010.6	
5/6/2020	29.727531136364	17.4	9	25	10.2	1011.9	
5/5/2020	25.176339916667	16	10.5	21	17.3	1012.6	
5/4/2020	22.385864166667	14.2	11	18	9.7	1008.5	
5/3/2020	21.975683	17.1	13	22	10.4	null	
5/2/2020	34.560432333333	17.9	11	25	9.2	null	
5/1/2020	31.056418958333	17.2	9.5	24	7.9	1011.1	
4/30/2020	35.955896791667	17.3	13	23	10.6	1009.7	
4/29/2020	39.795911166667	17.2	10	25.2	7.5	1012.5	
4/28/2020	46.202876166667	17	8	25	10	1013.3	
4/27/2020	31.465185375	15.7	7	24	6.1	1011.6	
4/26/2020	30.74089175	14.2	4	23.2	8.6	1010	
4/25/2020	30.727799416667	14.8	10	21	16.1	1007.6	
4/24/2020	36.190083666667	15.3	11	21	20.8	1007.9	
4/23/2020	37.012049041667	14.2	10	19.1	24.5	1011.3	
4/22/2020	57.115346708333	14.6	12	19	25.6	1010.7	
4/21/2020	61.768344166667	18.3	15.5	23	19.5	1010	
4/20/2020	44.204641666667	17.3	8	26	7.3	1011.8	
4/19/2020	32.797403041667	16.2	8	25	6.1	1014	
4/18/2020	38.674694541667	15.4	7.6	23.5	8.3	1015	
4/17/2020	38.290606375	14.2	5	22	13.9	1015.4	
4/16/2020	25.609993541667	14.2	10	19	35	1015.8	
4/15/2020	44.928345708333	17.1	12	23	18.9	1011.6	
4/14/2020	46.79143875	14.6	6	23.5	9.8	1016.1	
4/13/2020	37.486351125	14.5	6	22	13.4	1018.2	
4/12/2020	47.316517833333	16.4	7	23.5	16.5	1018.6	
4/11/2020	40.313527541667	17.3	11	24	20.9	1015.9	
4/10/2020	37.651953375	14.3	7	21.1	24.1	1012.8	
4/9/2020	44.848911833333	12.6	7	18.1	23.1	1013.3	
4/8/2020	39.370500333333	13.4	10	18	29.5	1015.1	
4/7/2020	38.310315916667	12.6	9	16	27.3	1016.6	
4/6/2020	42.646342666667	13.7	11	17	19.4	1014.6	
4/5/2020	63.894378333333	15.6	13.5	19	13.3	1006.4	
4/4/2020	48.992218666667	14.5	10.2	20	6.1	1010.9	
4/3/2020	24.557822916667	11.1	6	15	8.9	1014.3	
4/2/2020	30.994797782609	9.6	7	14	13.6	1009	
4/1/2020	55.062598333333	11.7	7	17	13.3	1011	
3/31/2020	68.092146125	13.3	7	20	11.1	1008.4	
3/30/2020	58.930865458333	12	4	19	8.6	1010.5	
